<Register>;<Description>;<min>;<max>;<divisor>;<comma>;<access>;<pcb>
2034;History: Datum 18;0;31249999;1;0;R;WP
2036;History: Datum 19;0;31249999;1;0;R;WP
2038;History: Datum 20;0;31249999;1;0;R;WP
2040;History: Datum 21;0;31249999;1;0;R;WP
2042;History: Datum 22;0;31249999;1;0;R;WP
2044;History: Datum 23;0;31249999;1;0;R;WP
2046;History: Datum 24;0;31249999;1;0;R;WP
2048;History: Datum 25;0;31249999;1;0;R;WP
2150;History: Summenstörung (2) 01;0;2147483647;1;0;R;WP
2152;History: Summenstörung (2) 02;0;2147483647;1;0;R;WP
2154;History: Summenstörung (2) 03;0;2147483647;1;0;R;WP
2156;History: Summenstörung (2) 04;0;2147483647;1;0;R;WP
2158;History: Summenstörung (2) 05;0;2147483647;1;0;R;WP
2160;History: Summenstörung (2) 06;0;2147483647;1;0;R;WP
2162;History: Summenstörung (2) 07;0;2147483647;1;0;R;WP
2164;History: Summenstörung (2) 08;0;2147483647;1;0;R;WP
2166;History: Summenstörung (2) 09;0;2147483647;1;0;R;WP
2168;History: Summenstörung (2) 10;0;2147483647;1;0;R;WP
2170;History: Summenstörung (2) 11;0;2147483647;1;0;R;WP
2172;History: Summenstörung (2) 12;0;2147483647;1;0;R;WP
2174;History: Summenstörung (2) 13;0;2147483647;1;0;R;WP
2176;History: Summenstörung (2) 14;0;2147483647;1;0;R;WP
2178;History: Summenstörung (2) 15;0;2147483647;1;0;R;WP
2180;History: Summenstörung (2) 16;0;2147483647;1;0;R;WP
2182;History: Summenstörung (2) 17;0;2147483647;1;0;R;WP
2184;History: Summenstörung (2) 18;0;2147483647;1;0;R;WP
2186;History: Summenstörung (2) 19;0;2147483647;1;0;R;WP
2188;History: Summenstörung (2) 20;0;2147483647;1;0;R;WP
2190;History: Summenstörung (2) 21;0;2147483647;1;0;R;WP
2192;History: Summenstörung (2) 22;0;2147483647;1;0;R;WP
2194;History: Summenstörung (2) 23;0;2147483647;1;0;R;WP
2196;History: Summenstörung (2) 24;0;2147483647;1;0;R;WP
2198;History: Summenstörung (2) 25;0;2147483647;1;0;R;WP
2100;History: Summenstörung 01;0;2147483647;1;0;R;WP
2102;History: Summenstörung 02;0;2147483647;1;0;R;WP
2104;History: Summenstörung 03;0;2147483647;1;0;R;WP
2106;History: Summenstörung 04;0;2147483647;1;0;R;WP
2108;History: Summenstörung 05;0;2147483647;1;0;R;WP
2110;History: Summenstörung 06;0;2147483647;1;0;R;WP
2112;History: Summenstörung 07;0;2147483647;1;0;R;WP
2114;History: Summenstörung 08;0;2147483647;1;0;R;WP
2116;History: Summenstörung 09;0;2147483647;1;0;R;WP
2118;History: Summenstörung 10;0;2147483647;1;0;R;WP
2120;History: Summenstörung 11;0;2147483647;1;0;R;WP
2122;History: Summenstörung 12;0;2147483647;1;0;R;WP
2124;History: Summenstörung 13;0;2147483647;1;0;R;WP
2126;History: Summenstörung 14;0;2147483647;1;0;R;WP
2128;History: Summenstörung 15;0;2147483647;1;0;R;WP
2130;History: Summenstörung 16;0;2147483647;1;0;R;WP
2132;History: Summenstörung 17;0;2147483647;1;0;R;WP
2134;History: Summenstörung 18;0;2147483647;1;0;R;WP
2136;History: Summenstörung 19;0;2147483647;1;0;R;WP
2138;History: Summenstörung 20;0;2147483647;1;0;R;WP
2140;History: Summenstörung 21;0;2147483647;1;0;R;WP
2142;History: Summenstörung 22;0;2147483647;1;0;R;WP
2144;History: Summenstörung 23;0;2147483647;1;0;R;WP
2146;History: Summenstörung 24;0;2147483647;1;0;R;WP
